id,"place_ja","place_en",longitude,latitude,"created_at","updated_at",area_id,"img_src","link","insta1","insta2","instaname","youtube"
32,"美浜タウンリゾート　アメリカンビレッジ","Mihama American Village",127.757568,26.316856,NULL,NULL,5,"Okinawa/Chatan_menu.jpg","https://www.okinawa-americanvillage.com/","link-8c04b02ae5a7cf763c0fbf24317419bb66f79b97fae92617cec6d82f30ba4f38","u=8c04b02ae5a7cf763c0fbf24317419bb66f79b97fae92617cec6d82f30ba4f38","chatan",""
33,"美ら海水族館","Churaumi Aquarium",127.877932,26.694158,NULL,NULL,5,"Okinawa/Churaumi_menu.jpg","https://churaumi.okinawa/","link-a6a2877cf58f2b77e418ef4dbeedab5a621c7bab0776857fb237af99fbf28947","u=a6a2877cf58f2b77e418ef4dbeedab5a621c7bab0776857fb237af99fbf28947","churaumi",""
34,"古宇利島","Kouri Island",128.018169,26.707298,NULL,NULL,5,"Okinawa/Kouri_menu.jpg","http://kourijima.info/","link-05e4fea7987bfe4da0be0a90141117d56a8dd82ed11d9a36ca9f06aafb25937d","u=05e4fea7987bfe4da0be0a90141117d56a8dd82ed11d9a36ca9f06aafb25937d","kouri",""
35,"青の洞窟","Blue Cave",124.196331,24.457593,NULL,NULL,5,"Okinawa/Ao_menu.jpg","http://bluecave-sealovers.net/language/okinawa-diving-shop-english/","link-e5438cfbc6bc44ee5b41065b69d454b55a14bb2100bda42c0dff9f6c50ce579a","u=e5438cfbc6bc44ee5b41065b69d454b55a14bb2100bda42c0dff9f6c50ce579a","",""
36,"首里城","Shuri-jo",127.719521,26.217014,NULL,NULL,5,"Okinawa/Shuri_menu.jpg","http://oki-park.jp/shurijo/","link-c3bdb292ee1a0a894a02c1e5f04951dda5dcb15fa84dba3e6c8862f6abb6a27d","u=c3bdb292ee1a0a894a02c1e5f04951dda5dcb15fa84dba3e6c8862f6abb6a27d","",""
37,"原宿","Harajuku",139.702698,35.670229,NULL,NULL,1,"Tokyo/Harajuku_menu.jpg","https://www.japan-guide.com/e/e3006.html","link-58b8f0a4f4fbf103af9aa2d56de4a3c3a59d2b885e09f37eb8246e514d87a2eb","u=58b8f0a4f4fbf103af9aa2d56de4a3c3a59d2b885e09f37eb8246e514d87a2eb","",""
38,"お台場","Odaiba",139.780545,35.620583,NULL,NULL,1,"Tokyo/Odaiba_menu.jpg","https://www.japan-guide.com/e/e3008.html","link-d4da6f44a7993807f09e6ca7683e31e112cded4fea456f649571f2a414cf89ac","u=d4da6f44a7993807f09e6ca7683e31e112cded4fea456f649571f2a414cf89ac","",""
39,"秋葉原","Akihabara",139.773072,35.698383,NULL,NULL,1,"Tokyo/Akiba_menu.jpg","https://jp.akihabara-japan.com/","link-550abfa202ef3cca5fa1d8e52a015f409f4b8f688f4517cab34efc7bab413833","u=550abfa202ef3cca5fa1d8e52a015f409f4b8f688f4517cab34efc7bab413833","",""
40,"花見小路通","Hanamikouji-dori",135.775036,35.003627,NULL,NULL,2,"Kyoto/Hanami_menu.jpg","https://ja.kyoto.travel/glossary/single.php?glossary_id=615","link-02acaa12c99ea3ed13bc61a9bb63ce2793c2473459fbd9ccdc9b6594bb47958e","u=02acaa12c99ea3ed13bc61a9bb63ce2793c2473459fbd9ccdc9b6594bb47958e","",""
41,"東寺","Toji",135.747786,34.980598,NULL,NULL,2,"Kyoto/Toji_menu.jpg","https://www.japan-guide.com/e/e3919.html","link-6a5ec6973118199a244da6e04d921c0b503d6daef47c969836088e712626afa4","u=6a5ec6973118199a244da6e04d921c0b503d6daef47c969836088e712626afa4","",""
42,"二条城","Nijo-jo",135.748218,35.01423,NULL,NULL,2,"Kyoto/nijo_menu.jpg","https://kyoto.travel/en/shrine_temple/119","link-a353e34b44ff72885cc6a30a92d28c2d4bf8c9c92923d7c14d329ac799de6c25","u=a353e34b44ff72885cc6a30a92d28c2d4bf8c9c92923d7c14d329ac799de6c25","",""
43,"あべのハルカス","Abeno Harukasu",135.513974,34.645952,NULL,NULL,3,"Osaka/Abeno_menu.jpg","https://www.abenoharukas-300.jp/index.html","link-1a770de1665f84112224cbc7a0a5ebaf1a818b3b07654b4282937c0f6bc5aa8b","u=1a770de1665f84112224cbc7a0a5ebaf1a818b3b07654b4282937c0f6bc5aa8b","",""
44,"アメリカ村","America Village",135.498864,34.67221,NULL,NULL,3,"Osaka/America_menu.jpg","http://americamura.jp/","link-e4f37d632d534037eb858914c72306868514fd437169d73c6e4e7b515b44fedc","u=e4f37d632d534037eb858914c72306868514fd437169d73c6e4e7b515b44fedc","",""
45,"なんばグランド花月","Namba Grand Kagetsu",135.503656,34.664987,NULL,NULL,3,"Osaka/Kagetsu_menu.jpg","https://www.yoshimoto.co.jp/ngk/","link-0c763ac79a909392c27b52e61b6ed773f3c7cf41a5afe48a3f3e07a156c083f6","u=0c763ac79a909392c27b52e61b6ed773f3c7cf41a5afe48a3f3e07a156c083f6","",""
46,"知床","Shiretoko",145.239675,44.199656,NULL,NULL,4,"Hokkaido/Shiretoko_menu.jpg","https://www.shiretoko.asia/","link-3f8d240a6ffa592dbcd7ddd8fba6d369643bc6a0567eb340327c0523926fbcd8","u=3f8d240a6ffa592dbcd7ddd8fba6d369643bc6a0567eb340327c0523926fbcd8","",""
47,"釧路湿原","Kushiro",144.44767,43.100245,NULL,NULL,4,"Hokkaido/Kushiro_menu.jpg","https://www.env.go.jp/en/nature/nps/park/kushiro/index.html","link-9a82f8ef9460d26a2ec133ce1d0d708c22a1dc04abd6eae09840ef94c03ba8bc","u=9a82f8ef9460d26a2ec133ce1d0d708c22a1dc04abd6eae09840ef94c03ba8bc","",""
48,"登別温泉","Noboribetsu",141.144034,42.494553,NULL,NULL,4,"Hokkaido/Noboribetsu_menu.jpg","http://noboribetsu-spa.jp/","link-1a24d19d1353bf3c8a51f13e5ea2b6a2477e2e938e1d5f68e5cc8bcaae7ace67","u=1a24d19d1353bf3c8a51f13e5ea2b6a2477e2e938e1d5f68e5cc8bcaae7ace67","",""
49,"宮古島","Miyakojima",125.281064,24.805534,NULL,NULL,5,"Okinawa/Miyako_menu.jpg","https://miyako-guide.net/","link-8056cca0020eef822fab67778fb404ce771e969c4ba5a60882caf0beab9241ac","u=8056cca0020eef822fab67778fb404ce771e969c4ba5a60882caf0beab9241ac","",""
50,"石垣島","Ishigakijima",124.155584,24.340686,NULL,NULL,5,"Okinawa/Ishigaki_menu.jpg","http://yaeyama.or.jp/","link-2f4c3849b3b8c326c0baa18e8ae58cb40b6d7c8f9a29215456276f583da81380","u=2f4c3849b3b8c326c0baa18e8ae58cb40b6d7c8f9a29215456276f583da81380","",""
51,"ナゴパイナップルパーク","Nago Pineapple Park",127.969574,26.616497,NULL,NULL,5,"Okinawa/Nago_menu.jpg","http://www.nagopine.com/","link-5926a394731ce163eade08f8fdfcd04cafaf9c0cc662db9efea28c819ee60d53","u=5926a394731ce163eade08f8fdfcd04cafaf9c0cc662db9efea28c819ee60d53","",""
52,"犬山城","Inuyama-jo",136.939178,35.388355,NULL,NULL,6,"Nagoya/Inuyama_menu.jpg","https://inuyama-castle.jp/","link-7f90c41c0552f30b063fd10ca274c3fb878c76a577d3f5cb70bf6298e8461756","u=7f90c41c0552f30b063fd10ca274c3fb878c76a577d3f5cb70bf6298e8461756","",""
53,"LEGOランド","LEGO Land",136.843829,35.050607,NULL,NULL,6,"Nagoya/Lego_menu.jpg","https://www.legoland.jp/","link-b9250781f554627ea11ddf19a6b9ac2fe0108371d33ed20aafc4b0bc629b0feb","u=b9250781f554627ea11ddf19a6b9ac2fe0108371d33ed20aafc4b0bc629b0feb","",""
54,"豊川稲荷","Toyokawa-Inari",137.393452,34.825173,NULL,NULL,6,"Nagoya/Toyokawa_menu.jpg","https://www.toyokawainari.jp/","link-b393066fe577cfc83dc4f8f832aca33b65726d423ead18efff7417c45a8e8d03","u=b393066fe577cfc83dc4f8f832aca33b65726d423ead18efff7417c45a8e8d03","",""
